 	X	Y
1	-10.999	-0.680
2	-9.996	-0.483
3	-9.001	-0.483
4	-8.006	-0.483
5	-7.011	-0.680
6	-6.008	-0.090
7	-5.005	0.107
8	-4.002	0.303
9	-11.994	19.575
10	-11.986	39.830
11	-12.002	59.691
12	-12.002	79.749
13	-12.011	100.004
14	-12.002	120.259
15	-10.406	94.891
16	-10.406	96.858
17	-9.937	92.138
18	-9.937	94.105
19	-9.636	100.594
20	-9.636	102.364
21	-9.327	107.083
22	-9.327	108.657
23	-9.043	109.640
24	-9.043	111.803
25	-8.725	120.259
26	-8.734	123.209
27	-8.441	110.623
28	-8.441	113.180
29	-8.140	112.196
30	-8.132	114.949
31	-7.831	109.247
32	-7.822	111.803
33	-7.530	101.971
34	-7.521	103.740
35	-7.229	89.188
36	-7.220	91.942
37	-6.919	76.406
38	-6.911	79.159
39	-6.434	41.403
40	-6.434	43.763
41	-5.958	20.165
42	-5.966	21.738
43	-5.481	8.169
44	-5.490	10.529
45	-4.997	2.663
46	-4.988	5.023
