 	X	Y
1	-10.991	-0.877
2	-10.004	-0.680
3	-8.993	-0.483
4	-8.006	-0.287
5	-7.011	-0.680
6	-6.000	-0.680
7	-4.997	0.107
8	-4.009	-0.028
9	-11.994	19.772
10	-11.986	39.633
11	-11.986	59.495
12	-12.002	79.946
13	-12.002	100.004
14	-12.011	119.866
15	-10.406	89.975
16	-10.406	94.105
17	-9.921	93.908
18	-9.937	95.481
19	-9.636	98.824
20	-9.636	100.594
21	-9.336	100.004
22	-9.336	101.774
23	-9.035	98.038
24	-9.043	99.611
25	-8.734	93.515
26	-8.742	95.088
27	-8.433	87.222
28	-8.441	89.188
29	-8.123	82.306
30	-8.132	83.879
31	-7.822	76.800
32	-7.822	78.569
33	-7.538	66.181
34	-7.538	68.147
35	-7.229	56.152
36	-7.229	57.725
37	-6.928	42.583
38	-6.911	45.139
39	-6.434	21.738
40	-6.451	24.294
41	-5.966	10.332
42	-5.975	12.496
43	-5.490	4.433
44	-5.481	6.006
45	-4.002	0.500
46	-4.002	2.270
