 	X	Y
1	-11	-3.070
2	-9.986	-1.116
3	-8.997	-1.116
4	-7.995	-0.837
5	-6.981	-0.558
6	-5.980	-0.279
7	-4.990	-0.558
8	-3.988	-0.558
9	-12.013	-0.358
10	-12.030	19.206
11	-12.004	39.165
12	-12.021	59.717
13	-12.021	79.084
14	-12.030	99.439
15	-12.038	119.595
16	-10.400	93.510
17	-10.400	96.079
18	-9.910	96.870
19	-9.910	99.636
20	-9.623	105.367
21	-9.606	108.134
22	-9.311	106.355
23	-9.311	108.529
24	-9.015	107.343
25	-9.015	109.122
26	-8.711	112.284
27	-8.711	114.260
28	-8.415	107.146
29	-8.390	109.122
30	-8.111	105.565
31	-8.103	107.936
32	-7.799	102.798
33	-7.799	104.577
34	-7.495	93.115
35	-7.495	95.289
36	-7.191	85.012
37	-7.183	87.582
38	-6.895	71.179
39	-6.904	73.551
40	-6.414	42.525
41	-6.406	45.291
42	-5.941	21.775
43	-5.941	23.554
44	-5.477	8.930
45	-5.460	10.708
46	-4.995	4.385
47	-4.979	6.163
