 	X	Y
1	-10.996	-0.872
2	-9.981	-0.872
3	-8.991	-0.475
4	-8.002	-0.872
5	-7.004	-0.475
6	-6.006	-0.079
7	-5.016	0.119
8	-4.051	0.119
9	-12.002	19.530
10	-12.011	39.734
11	-12.011	59.740
12	-12.011	79.944
13	-12.011	100.148
14	-12.002	119.956
15	-10.401	90.640
16	-10.409	92.621
17	-9.906	94.800
18	-9.906	97.925
19	-9.604	100.148
20	-9.604	104.308
21	-9.310	100.148
22	-9.310	102.723
23	-9.017	101.931
24	-9.000	104.110
25	-8.706	101.733
26	-8.715	104.308
27	-8.413	96.385
28	-8.413	98.960
29	-8.102	92.819
30	-8.102	94.998
31	-7.801	88.021
32	-7.800	90.244
33	-7.507	78.161
34	-7.507	80.340
35	-7.213	66.673
36	-7.213	68.654
37	-6.911	59.740
38	-6.920	61.523
39	-6.433	30.425
40	-6.442	32.406
41	-5.964	14.975
42	-5.972	16.757
43	-5.494	6.061
44	-5.494	7.448
45	-5.033	1.505
46	-5.033	3.090
47	-4.018	0.075
48	-4.035	2.254
49	-11.986	-0.277
50	-11.986	1.703
51	-10.392	94.404
52	-10.392	96.385
